,Company Name,Founded,Location,Sector,What it does,Founders,Investor,Amount,Stage
1503,<td>Kwik Foods</td>,<td>2020</td>,<td>Gurugram</td>,<td>Food &amp; Beverages</td>,<td>Kwik Foods is one of the fastest-growing D2C fresh food brands that is disrupting the food industry</td>,"<td>Prabhleen Kaur, Harshal Patel</td>",<td>9Unicorns</td>,<td>$Undisclosed</td>,<td>Seed</td>
1504,<td>Plutomen</td>,<td>2016</td>,<td>Ahmadabad</td>,<td>AR startup</td>,<td>Plutomen Technologies Pvt Ltd founded in Nov 2016 is recognized start-up by DIPP in the field of Emerging Technology.</td>,<td>Keyur Bhalavat</td>,"<td>GUSEC Seed Fund, DeVX Venture Fund</td>",<td>$300000</td>,<td></td>
1505,<td>GoMechanic</td>,<td>2016</td>,<td>Gurugram</td>,<td>Automotive</td>,"<td>GoMechanic is India’s leading multi-brand car service company, committed to making the car servicing experience hassle-free &amp; easy for everyone.</td>",<td>Kushal Karwa</td>,"<td>Tiger Global, Sequoia</td>",<td>$42000000</td>,<td>Series C</td>
1506,<td>Grinntech</td>,<td>2013</td>,<td>Chennai</td>,<td>Automotive</td>,"<td>Grinntech is an investor backed, growth phase start-up, leading on all front of battery design for EV applications.</td>","<td>Nikhilesh Mishra, Puneet Jain</td>",<td></td>,<td>$2000000</td>,<td></td>
1507,<td>Nobel Hygiene</td>,<td>1999</td>,<td>Mumbai</td>,<td>Healthcare</td>,"<td>Nobel Hygiene is one of the leading disposable hygiene care products manufacturer in the country with an ISO 9001:2015 and CE certification, headquartered in Mumbai.</td>",<td>Johari Kamal</td>,<td>Quadria Capital</td>,<td>$60000000</td>,<td></td>
1508,<td>Green Cure</td>,<td>2015</td>,<td>New Delhi</td>,<td>Healthcare</td>,<td>World's first company to combine German Engineering with Indian Ayurveda in health products</td>,<td>Sanchit Garg</td>,<td>Venture Catalysts</td>,<td>$Undisclosed</td>,<td>Pre-series A</td>
1509,<td>Classplus</td>,<td>2017</td>,<td>Noida</td>,<td>EdTech</td>,<td>Classplus was born out of an urge to redefine classroom engagement in this country.</td>,"<td>Mukul Rustagi, Bhaswat Agarwal</td>",<td>Tiger Global</td>,<td>$65000000</td>,<td>Series C</td>
1510,<td>WINDO</td>,<td>2020</td>,<td>Hyderabad</td>,<td>E-commerce</td>,<td>Convert Instagram Page Into an Online Store in under 2-minutes. Create a free online store and automate your sales.</td>,"<td>Silus Reddy Chintapalli, Rakesh Vaddadi</td>",<td>Unicorn India Ventures</td>,<td>$500000</td>,<td>Seed</td>
1511,<td>ApnaKlub</td>,<td>2020</td>,<td>Bangalore</td>,<td>E-commerce</td>,<td>Supporting independent businesses and retail entrepreneurs with better than market wholesale prices and supply chain.</td>,"<td>Shruti, Manish Kumar</td>","<td>Blume Ventures, Whiteboard Capital</td>",<td>$Undisclosed</td>,<td>Pre-series A</td>
1512,<td>LegalPay</td>,<td>2019</td>,<td>New Delhi</td>,<td>FinTech</td>,<td>A tech focused B2B litigation finance company in India.</td>,<td>Kundan Shahi</td>,<td>Ashwini Kakkar. 9Unicorns</td>,<td>$Undisclosed</td>,<td></td>
1513,<td>Lavado</td>,<td>2016</td>,<td>Mumbai</td>,<td>Consumer service</td>,<td>A startup that is trying to permanently change the way people approach the cleaning and maintenance of their apparel and accessories.</td>,<td>Disha Jain</td>,<td>Ashish Shah</td>,<td>$Undisclosed</td>,<td></td>
1514,<td>Navars</td>,<td>2019</td>,<td>Hyderabad</td>,<td>EdTech</td>,"<td>Navars Edutech comprises dynamic mix of intellectual professionals, managerial team, Subject matter experts and Astronomy and Space researchers.</td>",<td>Sravan Varma Datla</td>,<td>Faad Network</td>,<td>$Undisclosed</td>,<td></td>
1515,<td>GoBolt</td>,<td>2015</td>,<td>Gurugram</td>,<td>Logistics</td>,"<td>GoBOLT is a tech-logistics company operating in Line Haul &amp; Short Haul Trucking, creating value through dis-intermediation, increased asset utilization and extensive use of technology.</td>","<td>Naitik Baghla, Parag Aggarwal, Sumit Sharma</td>","<td>Paragon Partners, Aavishkaar Capital</td>",<td>$20000000</td>,<td>Series B</td>
1516,<td>Loco</td>,<td>2018</td>,<td>Bangalore</td>,<td>Gaming</td>,<td>Loco is India's leading live game streaming app.</td>,"<td>Anirudh Pandita, Ashwin Suresh</td>","<td>Krafton, Lumikai</td>",<td>$9000000</td>,<td>Seed</td>
1517,<td>Auric</td>,<td>2017</td>,<td>New Delhi</td>,<td>Healthcare</td>,<td>Contemporary Beauty &amp; Wellness Brand Based on Ayurveda</td>,<td>Deepak Agarwal</td>,<td>Venture Catalysts</td>,<td>$2000000</td>,<td>Pre-series A</td>
1518,<td>Edmingle</td>,<td>2016</td>,<td>Bangalore</td>,<td>EdTech</td>,<td>Edmingle is a platform for all educators who want to launch their courses and sell them online.</td>,<td>Gaurav Doshi</td>,"<td>Indovation Fund, Mumbai Angels</td>",<td>$300000</td>,<td></td>
1519,<td>Slice</td>,<td>2016</td>,<td>Bangalore</td>,<td>FinTech</td>,"<td>Slice is India's best credit card challenger to pay bills, manage expenses, and unlock rewards.</td>",<td>Rajan Bajaj</td>,"<td>Gunosy, Blume Ventures</td>",<td>$20000000</td>,<td></td>
1520,<td>Humit</td>,<td>2020</td>,<td>Bangalore</td>,<td>Music</td>,<td>Humit is a social networking app for music sharing and discovery.</td>,"<td>Rohit Ganapathy, Prithvi Sankar, Ishaan Negi</td>",<td>Antler India</td>,<td>$Undisclosed</td>,<td>Pre-seed</td>
1521,<td>Airblack</td>,<td>2019</td>,<td>Gurugram</td>,<td>IT startup</td>,<td>Airblack is on a mission to help people convert their passion to a livelihood.</td>,"<td>Videt Jaiswal, Vaibhav Raj Gupta</td>","<td>Edge Ventures, Elevation Capital</td>",<td>$5200000</td>,<td>Series A</td>
1522,<td>NIRAMAI</td>,<td>2016</td>,<td>Bangalore</td>,<td>Healthcare</td>,"<td>NIRAMAI has developed a novel breast cancer screening solution that uses Thermalytix, i.e. machine intelligence over thermography images.</td>",<td>Geetha Manjunath</td>,<td>CDC Group</td>,<td>$Undisclosed</td>,<td></td>
1523,<td>Intervue</td>,<td>2021</td>,<td>New Delhi</td>,<td>SaaS startup</td>,<td>World's fastest collaborative environment to take tech interviews.</td>,"<td>Rahul Arora, Pushpender Singh Rautela</td>","<td>Titan Capital, Kunal Shah</td>",<td>$Undisclosed</td>,<td>Seed</td>
1524,<td>Nestroots</td>,<td>2016</td>,<td>Gurugram</td>,<td>Fashion</td>,"<td>Ottoman, Stool, Brass Kitchen Solutions, Masala Box, Roti Box, Bar Accessories and Many Gifting Options at Nestroots.</td>",<td>Chhavi Singh</td>,<td>We Founder Circle</td>,<td>$100000</td>,<td>Seed</td>
1525,<td>Detect Technologies</td>,<td>2016</td>,<td>Chennai</td>,<td>Automation</td>,<td>Detect Technologies is a leading Industrial AI company that is building innovative solutions and cutting-edge technology for the industrial ecosystem.</td>,<td>Daniel Raj David</td>,"<td>Accel Partners, Elevation Capital</td>",<td>$12000000</td>,<td></td>
1526,<td>CredR</td>,<td>2015</td>,<td>Bangalore</td>,<td>Automotive</td>,<td>CredR is India’s Most Trusted Used Two-Wheeler Consumer Brand that leverages Technology &amp; Processes to simplify the Used Two-wheeler Market.</td>,<td>Sasidhar Nandigam</td>,"<td>Yamaha Motors, Omidyar Network India, Eight Roads Ventures</td>",<td>$6500000</td>,<td></td>
1527,<td>Fourth Partner Energy</td>,<td>2010</td>,<td>Hyderabad</td>,<td>Solar</td>,"<td>Fourth Partner Energy is India’s leading distributed solar energy firm focusing on building and financing solar projects across the private and public sectors for commercial, industrial and institutional entities.</td>",<td>Vivek Subramanian</td>,"<td>Norfund, The Rise Fund</td>",<td>$125000000</td>,<td></td>
1528,<td>TABLT</td>,<td>2018</td>,<td>Kolkata</td>,<td>Healthcare</td>,<td>TABLT [Previously Sabse Sasta Dukaan] is one of India's most trusted online pharmacy dealing in medicines and other healthcare products.</td>,<td>Anish Agarwal</td>,<td>Siti Cable</td>,<td>$3000000</td>,<td>Seies A</td>
